Date_x,open_x,high_x,low_x,close_x,volume_x,open,high,low,close,volume,High-Low,High-Close,Low-Close,True Range,ATR,+DM,-DM,Smoothed+DM,Smoothed-DM,+DI,-DI,DX,ADX,OBV,RSI,EMA_12,EMA_26,MACD,Signal_Line,MACD_Histogram,positive,neutral,negative,score
2010-08-13,11.12,11.34,11.11,11.17,15901300,11.12,11.34,11.11,11.17,15901300,0.2300000000000004,0.1799999999999997,0.0500000000000007,0.2300000000000004,0.3557067744910991,0.1199999999999992,0.0,0.0499418591205672,0.1100184621647488,14.040176544857166,30.92953805058944,37.55719078422259,28.00743318202897,-1971268900,17.674418604651024,11.637103105954225,11.947156997489518,-0.3100538915352953,-0.225813231503146,-0.0842406600321492,0.0,0.0,0.0,0.0
2010-08-16,11.11,11.37,11.03,11.21,19176600,11.11,11.37,11.03,11.21,19176600,0.3399999999999998,0.1999999999999993,0.1400000000000005,0.3399999999999998,0.3545848620274492,0.0,0.08,0.0463745834690981,0.1078742862958382,13.07855704948516,30.422699288129067,39.870439842094754,28.85479080060509,-1952092300,17.289719626168164,11.57139493580742,11.89255277545326,-0.3211578396458403,-0.2448821531316849,-0.0762756865141554,0.0,0.0,0.0,0.0
2010-08-17,11.35,11.47,11.25,11.385,15340600,11.35,11.47,11.25,11.385,15340600,0.2200000000000006,0.2599999999999998,0.0399999999999991,0.2599999999999998,0.34782880045406,0.1000000000000014,0.0,0.0502049703641626,0.1001689801318497,14.433816377086806,28.79835712312723,33.22650605565623,29.167056175965893,-1936751700,26.520681265206733,11.542718791837046,11.854956273567833,-0.3122374817307864,-0.2583532188515052,-0.0538842628792812,0.0,0.0,0.0,0.0
2010-08-18,11.35,11.53,11.28,11.38,12620500,11.35,11.53,11.28,11.38,12620500,0.25,0.1449999999999995,0.1050000000000004,0.25,0.3408410289930557,0.0599999999999987,0.0,0.0509046153381509,0.0930140529795748,14.935002246806414,27.289570523350893,29.259190717676624,29.173637214659514,-1949372200,33.03030303030299,11.517685131554424,11.819774327377624,-0.3020891958231981,-0.2671004142458438,-0.0349887815773543,0.4302,0.45,0.1198,0.5643
2010-08-19,11.44,11.62,11.29,11.36,21945000,11.44,11.62,11.29,11.36,21945000,0.33,0.2399999999999984,0.0900000000000016,0.33,0.3400666697792661,0.0899999999999998,0.0,0.0536971428139973,0.0863701920524623,15.790181039750708,25.39801742656061,23.32667303880346,28.755996916384085,-1971317200,35.62091503267965,11.493425880546052,11.785716969794096,-0.2922910892480441,-0.2721385492462839,-0.0201525400017602,0.0763,0.8418,0.0819,-0.0355
2010-08-20,11.25,11.42,11.07,11.09,27253900,11.25,11.42,11.07,11.09,27253900,0.3499999999999996,0.0600000000000005,0.2899999999999991,0.3499999999999996,0.3407761933664613,0.0,0.2199999999999988,0.0498616326129975,0.0959151783344292,14.631782848568204,28.146091247426043,31.591818631593306,28.9585556103276,-1998571100,21.06918238993701,11.431360360462044,11.734182379438977,-0.3028220189769328,-0.2782752431924137,-0.0245467757845191,0.0,0.0,0.0,0.0
2010-08-23,11.11,11.22,10.95,10.99,26340400,11.11,11.22,10.95,10.99,26340400,0.2700000000000013,0.1300000000000007,0.1400000000000005,0.2700000000000013,0.3357207509831428,0.0,0.120000000000001,0.0463000874263548,0.0976355227391129,13.791249808290718,29.082361591647757,35.66555576743176,29.437627050120756,-2024911500,22.33333333333323,11.363458766544806,11.679057758739797,-0.3155989921949889,-0.2857399929929287,-0.0298589992020601,0.0001,0.0007,0.9992,-0.9998
2010-08-24,10.82,10.9,10.59,10.5925,37283900,10.82,10.9,10.59,10.5925,37283900,0.3100000000000005,0.0899999999999998,0.4000000000000003,0.4000000000000003,0.3403121259129183,0.0,0.3599999999999994,0.0429929383244723,0.1163758425434619,12.633384193742693,34.19679573017657,46.04597200238392,30.62393740385384,-2062195400,15.426251691474915,11.244849725537913,11.598571998833142,-0.3537222732952294,-0.2993364490533888,-0.0543858242418405,0.0,0.0,0.0,0.0
2010-08-25,10.49,10.77,10.33,10.71,31905600,10.49,10.77,10.33,10.71,31905600,0.4399999999999995,0.1775000000000002,0.2624999999999993,0.4399999999999995,0.3474326883477098,0.0,0.2599999999999998,0.0399220141584386,0.1266347109332146,11.490575152354335,36.4487036425539,52.06196070861717,32.15522478276551,-2030289800,21.128608923884517,11.162565152378232,11.532751850771428,-0.3701866983931943,-0.3135064989213499,-0.0566801994718443,0.0,0.0,0.0,0.0
2010-08-26,10.75,10.81,10.51,10.53,25302300,10.75,10.81,10.51,10.53,25302300,0.3000000000000007,0.0999999999999996,0.200000000000001,0.3000000000000007,0.3440446391800162,0.0400000000000009,0.0,0.039927584575693,0.117589374437985,11.60535001238649,34.17852250749884,49.303764082665,33.38012044704404,-2055592100,18.12652068126522,11.065247436627734,11.45847393589947,-0.3932264992717353,-0.3294504989914271,-0.0637760002803082,0.0,0.0,0.0,0.0
2010-08-27,10.58,10.78,10.3,10.685,23280100,10.58,10.78,10.3,10.685,23280100,0.4799999999999986,0.25,0.2299999999999986,0.4799999999999986,0.3537557363814436,0.0,0.209999999999999,0.0370756142488578,0.1241901334067003,10.480569058216032,35.10618221404332,54.01923249313133,34.85434273605028,-2032312000,22.821100917431263,11.006747830992698,11.401179570277288,-0.3944317392845899,-0.3424467470500597,-0.0519849922345302,0.0,0.0,0.0,0.0
2010-08-30,10.67,10.74,10.47,10.47,16357700,10.67,10.74,10.47,10.47,16357700,0.2699999999999996,0.0549999999999997,0.2149999999999998,0.2699999999999996,0.347773183782769,0.0,0.0,0.0344273560882251,0.115319409591936,9.899370536208348,33.15937368649116,54.01923249313136,36.22326343298464,-2048669700,24.20924574209253,10.924171241609203,11.332203305812303,-0.4080320642030983,-0.3555638104806674,-0.0524682537224309,0.0,0.0,0.0,0.0
